RowID,Date,Year,Location,IndicatorName,IndicatorValue,Notes
"Oklahoma City, OKViolent crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Oklahoma City, OK","Violent crime rate (per 100,000 population)",802,
"Raleigh, NCViolent crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Raleigh, NC","Violent crime rate (per 100,000 population)",638,
"Tampa, FLViolent crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Tampa, FL","Violent crime rate (per 100,000 population)",1158,
"Benchmark AverageViolent crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,Benchmark Average,"Violent crime rate (per 100,000 population)",1323,
"Atlanta, GAMurder and nonnegligent manslaughter2007",12/31/2007 12:00:00 AM,2007,"Atlanta, GA",Murder and nonnegligent manslaughter,129,
"Baton Rouge, LAMurder and nonnegligent manslaughter2007",12/31/2007 12:00:00 AM,2007,"Baton Rouge, LA",Murder and nonnegligent manslaughter,71,
"Memphis, TNMurder and nonnegligent manslaughter2007",12/31/2007 12:00:00 AM,2007,"Memphis, TN",Murder and nonnegligent manslaughter,131,
"Miami, FLMurder and nonnegligent manslaughter2007",12/31/2007 12:00:00 AM,2007,"Miami, FL",Murder and nonnegligent manslaughter,78,
"Nashville, TNMurder and nonnegligent manslaughter2007",12/31/2007 12:00:00 AM,2007,"Nashville, TN",Murder and nonnegligent manslaughter,73,
"New Orleans, LAMurder and nonnegligent manslaughter2007",12/31/2007 12:00:00 AM,2007,"New Orleans, LA",Murder and nonnegligent manslaughter,209,
"Oklahoma City, OKMurder and nonnegligent manslaughter2007",12/31/2007 12:00:00 AM,2007,"Oklahoma City, OK",Murder and nonnegligent manslaughter,58,
"Raleigh, NCMurder and nonnegligent manslaughter2007",12/31/2007 12:00:00 AM,2007,"Raleigh, NC",Murder and nonnegligent manslaughter,23,
"Tampa, FLMurder and nonnegligent manslaughter2007",12/31/2007 12:00:00 AM,2007,"Tampa, FL",Murder and nonnegligent manslaughter,28,
Benchmark AverageMurder and nonnegligent manslaughter2007,12/31/2007 12:00:00 AM,2007,Benchmark Average,Murder and nonnegligent manslaughter,74,
"Atlanta, GAProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Atlanta, GA","Property crime rate (per 100,000 population)",7286,
"Baton Rouge, LAProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Baton Rouge, LA","Property crime rate (per 100,000 population)",5972,
"Memphis, TNProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Memphis, TN","Property crime rate (per 100,000 population)",8070,
"Miami, FLProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Miami, FL","Property crime rate (per 100,000 population)",5163,
"Nashville, TNProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Nashville, TN","Property crime rate (per 100,000 population)",5577,
"New Orleans, LAProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"New Orleans, LA","Property crime rate (per 100,000 population)",7064,
"Oklahoma City, OKProperty crime rate (per 100,000 population)2007",12/31/2007 12:00:00 AM,2007,"Oklahoma City, OK","Property crime rate (per 100,000 population)",5893,
